SERVICE,"3TSUN, 4TRSA",,,,
LINE,4,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - N Roxboro Rd-Duke Hospital-N Duke Crossing,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Horton Rd at Roxboro Rd,N Roxboro Rd at Duke Regional Hospital,Roxboro Rd at St Paul St,Durham Station 
STOPID,,5654,6155,5634,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,631,635,641,655
2,INBOUND,731,735,741,755
3,INBOUND,831,835,841,855
4,INBOUND,931,935,941,955
5,INBOUND,1031,1035,1041,1055
6,INBOUND,1131,1135,1141,1155
7,INBOUND,1231,1235,1241,1255
8,INBOUND,1331,1335,1341,1355
9,INBOUND,1431,1435,1441,1455
10,INBOUND,1531,1535,1541,1555
11,INBOUND,1631,1635,1641,1655
12,INBOUND,1731,1735,1741,1755
13,INBOUND,1831,1835,1841,1855
14,INBOUND,1931,1935,1941,1955
15,INBOUND,2031,2035,2041,2055
