SERVICE,"3TSUN, 4TRSA",,,,
LINE,8,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Lawson St-NCCU-Durham Tech CC,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Capps St at S Alston Ave,Lawson St at Durham Tech (IB),Lawson St at Merrick St ,Durham Station 
STOPID,,6398,5773,6598,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,630,636,643,655
2,INBOUND,730,736,743,755
3,INBOUND,830,836,843,855
4,INBOUND,930,936,943,955
5,INBOUND,1030,1036,1043,1055
6,INBOUND,1130,1136,1143,1155
7,INBOUND,1230,1236,1243,1255
8,INBOUND,1330,1336,1343,1355
9,INBOUND,1430,1436,1443,1455
10,INBOUND,1530,1536,1543,1555
11,INBOUND,1630,1636,1643,1655
12,INBOUND,1730,1736,1743,1755
13,INBOUND,1830,1836,1843,1855
14,INBOUND,1930,1936,1943,1955
15,INBOUND,2030,2036,2043,2055
