SERVICE,"3TSUN, 4TRSA",,,,
LINE,1,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Northgate-North Pointe-Guess Road,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Horton Rd at Guess Rd,Guess Rd at Lamar St,Club Blvd at Dollar Ave,Durham Station 
STOPID,,6203,6114,5897,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,632,639,645,655
2,INBOUND,732,739,745,755
3,INBOUND,832,839,845,855
4,INBOUND,932,939,945,955
5,INBOUND,1032,1039,1045,1055
6,INBOUND,1132,1139,1145,1155
7,INBOUND,1232,1239,1245,1255
8,INBOUND,1332,1339,1345,1355
9,INBOUND,1432,1439,1445,1455
10,INBOUND,1532,1539,1545,1555
11,INBOUND,1632,1639,1645,1655
12,INBOUND,1732,1739,1745,1755
13,INBOUND,1832,1839,1845,1855
14,INBOUND,1932,1939,1945,1955
15,INBOUND,2032,2039,2045,2055
