SERVICE,"3TSUN, 4TRSA",,,,
LINE,5,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - Fayetteville St-NCCU-Streets at Southpoint,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Streets at Southpoint (Cinemas),Fayetteville Rd at Crooked Creek Pk,Fayetteville St at Lawson St (NCCU),Durham Station 
STOPID,,5956,5793,6023,5774
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,619,626,643,655
2,INBOUND,719,726,743,755
3,INBOUND,819,826,843,855
4,INBOUND,919,926,943,955
5,INBOUND,1019,1026,1043,1055
6,INBOUND,1119,1126,1143,1155
7,INBOUND,1219,1226,1243,1255
8,INBOUND,1319,1326,1343,1355
9,INBOUND,1419,1426,1443,1455
10,INBOUND,1519,1526,1543,1555
11,INBOUND,1619,1626,1643,1655
12,INBOUND,1719,1726,1743,1755
13,INBOUND,1819,1826,1843,1855
14,INBOUND,1919,1926,1943,1955
15,INBOUND,2019,2026,2043,2055
